cultivated plant	栽培植物
cause to sleep	使入睡
principal sum	本金
cut of meat	切下的一塊肉；肉品部位
cutting off	切斷；截斷
average out	平均下來為；算出平均值
full-of-the-moon	滿月
full phase of the moon	滿月的月相
to the full	充分地
burn off	燒掉；消耗掉
burn up	燒毀；燃盡
spread head	跨欄標題（印刷用語）
crack up	精神崩潰；捧腹大笑
quiet down	安靜下來
mental institution	精神醫療機構
break even	收支平衡
caterpillar track	履帶
data track	資料軌道
cart track	車道；供車輛行走的土路
full-term	足月的；任期屆滿的
noncurrent	非流動的；非當期的
bunch together	聚攏；擠在一起
bunch up	聚攏；皺成一團
prime of life	壯年；人生的盛年
credit rating	信用評等
magnetic core	磁芯
spell out	逐字拼出；詳細說明
revenue stamp	稅票；印花
stand still	站著不動；停滯不前
mix in	拌入；混入
lock away	鎖起來存放；關起來
trade in	以舊換新
bundle up	捆起來；穿暖和些
nonexempt	未獲豁免的
world power	世界強權
major power	強國
great power	強國
margin call	追繳保證金通知
call option	買權
funny story	好笑的故事
funny remark	逗趣的話
load up	裝滿；載滿
old bag	對年長女性的侮辱稱呼（貶義，避免使用）
public square	公共廣場
square toes	觀念守舊而拘謹的人
use of goods and services	商品與服務的使用
wind instrument	管樂器
breaking wind	放屁
noncritical	非關鍵的；不加批判的
guide on	以……為導向；依……引導
whole step	全音（音樂）
dance step	舞步
tool around	開車四處兜風
return key	換行鍵；Enter 鍵
stand up	站起來；站得住腳
knowledge domain	知識領域
immodesty	不謙遜；不端莊
come out of the closet	公開承認自己的性傾向或身分
refugee camp	難民營
camp down	紮營
cultivated cabbage	栽培的甘藍
fashion model	時裝模特兒
star topology	星狀拓樸（網路結構）
erotic love	情慾之愛
making love	做愛
love life	感情生活；性生活
spur track	鐵路支線
grease gun	潤滑油槍
limited review	有限範圍的審查
just now	剛才；就在此刻
top of the inning	一局上半局（棒球）
spinning top	陀螺
big top	馬戲團大帳篷
doodly-squat	一點也沒有（口語）
take root	生根；扎根
nonfunctional	無法運作的；無功能的
unwire	拆除電線；斷開線路
stem turn	半犁式轉彎（滑雪）
nonexplosive	不會爆炸的
unpresidential	不符合總統身分的
unstaple	拆掉釘書針
no longer	不再
push-down stack	下推堆疊（電腦資料結構）
elevator car	電梯廂
cable car	纜車
tape transport	磁帶傳動裝置
on the loose	在逃；未受拘束
let loose	放開；釋放
stop consonant	塞音（語音學）
full stop	句點；完全停止
calling card	名片；個人特色
visiting card	名片
factor in	把……列入考量
factor out	提取公因數；排除某因素
curl up	蜷縮
touch sensation	觸覺
act as	充當；擔任
extension phone	分機電話
flexion	彎曲；屈曲
stay in place	留在原位
noncrucial	非關鍵的
give care	照顧；提供照護
straight line	直線
gain ground	取得進展；逐漸普及
physical process	物理過程
uneager	不熱切的；不急於……的
balance wheel	擺輪（鐘錶零件）
fall down	跌倒；倒塌
computer program	電腦程式
round of golf	一輪高爾夫球
daily round	日常工作；每日例行活動
round of drinks	給在場每人各一杯的一輪飲料
unprotective	不具保護作用的
string along	欺騙並拖延；跟著走（依語境）
strip show	脫衣舞表演
strip down	拆解；脫去部分衣物
freight rate	貨運費率
grammatical case	格（文法）
compositor's case	活字盤
typesetter's case	活字盤
display case	展示櫃
helping hand	援手；幫助
look down on	看不起
turn a profit	獲利
muddy up	弄髒；把事情弄得混亂
stock certificate	股票憑證
Malcolm stock	Malcolmia 屬的觀賞花卉
get under one's skin	惹惱某人；使某人深受影響
ice-skating rink	溜冰場
prison cell	牢房
manor hall	莊園大宅
submarine sandwich	潛艇堡
the absurd	荒誕的事物；荒謬
nervous strain	精神壓力
true up	校準；調整至正確位置
work on	致力於；繼續處理
financial support	財務支援
mount up	累積增加
suck up	吸起；奉承（口語）
letter carrier	郵差
trouble oneself	費心；勞心
nonworker	未工作的人；不工作的人
cash advance	預借現金
rough in	畫出輪廓；初步安排
rough out	擬出草稿；粗略勾勒
styleless	缺乏風格的
